"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R12";"R_1206_3216Metric";1;"2k";;;
2;"R13,R14";"R_1206_3216Metric";2;"5.1k";;;
3;"R8,R2,R9,R3,R1,R4,R5";"R_1206_3216Metric";7;"12k";;;
4;"U3";"ESP-12E";1;"ESP-12E";;;
5;"U5";"TSOT-23-5_HandSoldering";1;"MCP73831";;;
6;"U4,U6";"SOT-23-5";2;"AP2112K-3.3";;;
7;"R11";"R_1206_3216Metric";1;"2K";;;
8;"C7,C2,C1";"C_1206_3216Metric";3;"100n";;;
9;"Q2,Q1";"SOT-23-3";2;"NPN-TRANSISTOR_SOT23";;;
10;"D1";"LED_1206_3216Metric";1;"LED";;;
11;"Q3";"SOT-23";1;"DMG2301L";;;
12;"C6";"C_1206_3216Metric";1;"100nF";;;
13;"R15";"R_1206_3216Metric";1;"10k";;;
14;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
15;"C3,C8";"C_1206_3216Metric";2;"2.2u";;;
16;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
17;"U1";"TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm";1;"MAX17048G";;;
18;"ID0";"SW_DIP_SPSTx02_Slide_6.7x6.64mm_W6.73mm_P2.54mm_LowProfile_JPin";1;"SW_DIP-2";;;
19;"BMP280";"PinHeader_1x04_P2.54mm_Vertical";1;"PINHD-1X4";;;
20;"C5,C4";"C_1206_3216Metric";2;"4.7u";;;
21;"D2";"D_SOD-123";1;"MBR0520";;;
22;"RESET1";"SW_SPST_TL3342";1;"SW_Push";;;
23;"R10";"R_1206_3216Metric";1;"470";;;
24;"BATT0";"JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical";1;"PINHD-1X2";;;
