Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BATT0","PINHD-1X2","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",84.336000,-89.506000,90.000000,top
"C1","100n","C_1206_3216Metric",104.648000,-80.264000,0.000000,top
"C2","100n","C_1206_3216Metric",104.648000,-82.804000,0.000000,top
"C3","2.2u","C_1206_3216Metric",104.648000,-85.344000,0.000000,top
"C4","4.7u","C_1206_3216Metric",104.648000,-87.884000,0.000000,top
"C5","4.7u","C_1206_3216Metric",104.648000,-90.424000,0.000000,top
"C6","100nF","C_1206_3216Metric",104.648000,-92.964000,0.000000,top
"C7","100n","C_1206_3216Metric",104.648000,-95.504000,0.000000,top
"C8","2.2u","C_1206_3216Metric",104.648000,-98.044000,0.000000,top
"D1","LED","LED_1206_3216Metric",85.598000,-97.028000,90.000000,top
"D2","MBR0520","D_SOD-123",82.296000,-81.788000,0.000000,top
"ID0","SW_DIP-2","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W6.73mm_P2.54mm_LowProfile_JPin",84.582000,-69.342000,0.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",93.630000,-95.504000,0.000000,top
"Q1","NPN-TRANSISTOR_SOT23","SOT-23-3",93.086000,-67.564000,90.000000,top
"Q2","NPN-TRANSISTOR_SOT23","SOT-23-3",97.536000,-67.564000,90.000000,top
"Q3","DMG2301L","SOT-23",88.900000,-82.725500,90.000000,top
"R1","12k","R_1206_3216Metric",100.584000,-40.640000,0.000000,top
"R2","12k","R_1206_3216Metric",100.584000,-43.180000,0.000000,top
"R3","12k","R_1206_3216Metric",104.648000,-52.324000,0.000000,top
"R4","12k","R_1206_3216Metric",104.709500,-54.864000,0.000000,top
"R5","12k","R_1206_3216Metric",104.709500,-57.404000,0.000000,top
"R8","12k","R_1206_3216Metric",104.709500,-59.944000,0.000000,top
"R9","12k","R_1206_3216Metric",104.709500,-62.484000,0.000000,top
"R10","470","R_1206_3216Metric",104.709500,-65.024000,0.000000,top
"R11","2K","R_1206_3216Metric",104.709500,-67.564000,0.000000,top
"R12","2k","R_1206_3216Metric",104.709500,-70.104000,0.000000,top
"R13","5.1k","R_1206_3216Metric",104.660500,-75.184000,0.000000,top
"R14","5.1k","R_1206_3216Metric",104.660500,-72.644000,0.000000,top
"R15","10k","R_1206_3216Metric",104.660500,-77.724000,0.000000,top
"RESET1","SW_Push","SW_SPST_TL3342",84.074000,-76.962000,0.000000,top
"U1","MAX17048G","TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm",81.742000,-96.974000,-90.000000,top
"U2","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",94.931000,-75.565000,0.000000,top
"U3","ESP-12E","ESP-12E",88.666000,-51.506000,0.000000,top
"U4","AP2112K-3.3","SOT-23-5",93.604500,-83.754000,0.000000,top
"U5","MCP73831","TSOT-23-5_HandSoldering",93.593500,-87.564000,0.000000,top
"U6","AP2112K-3.3","SOT-23-5",98.176500,-83.754000,0.000000,top
